timestamp,second,throughput,l2_hit_rate,anomaly_rate,avg_peak_amplitude
1772802242805,1,28960,0.0287,0.0000,656083.15
1772802243807,2,31275,0.0284,0.0000,654688.45
1772802244808,3,808,0.0099,0.0000,655359.00
1772802245808,4,894,0.0190,0.0000,655359.00
1772802246809,5,803,0.0000,0.0000,655359.00
1772802247810,6,866,0.0300,0.0000,655359.00
1772802248811,7,787,0.0102,0.0000,655359.00
1772802249812,8,1138,0.0281,0.0000,655359.00
1772802250812,9,826,0.0048,0.0000,655359.00
1772802251813,10,892,0.0235,0.0000,655359.00
1772802252814,11,856,0.0105,0.0000,655359.00
1772802253815,12,994,0.0151,0.0000,655359.00
1772802254816,13,1010,0.0238,0.0000,655359.00
1772802255816,14,911,0.0198,0.0000,655359.00
1772802256817,15,831,0.0168,0.0000,655359.00
1772802257817,16,709,0.0240,0.0000,655359.00
1772802258818,17,971,0.0299,0.0000,655359.00
1772802259818,18,708,0.0268,0.0000,655359.00
1772802260819,19,791,0.0038,0.0000,655359.00
1772802261819,20,767,0.0287,0.0000,655359.00
1772802262824,21,996,0.0080,0.0000,655359.00
1772802263824,22,822,0.0024,0.0000,655359.00
1772802264825,23,878,0.0478,0.0000,655359.00
1772802265825,24,865,0.0301,0.0000,655359.00
1772802266825,25,834,0.0456,0.0000,655359.00
1772802267825,26,1105,0.0452,0.0000,655359.00
1772802268826,27,917,0.0338,0.0000,655359.00
1772802269826,28,835,0.0347,0.0000,655359.00
1772802270827,29,821,0.0646,0.0000,655359.00
1772802271827,30,1000,0.0450,0.0000,655359.00
1772802272828,31,979,0.0347,0.0000,655359.00
1772802273828,32,871,0.0689,0.0000,655359.00
1772802274828,33,885,0.0667,0.0000,655359.00
1772802275828,34,884,0.0441,0.0000,655359.00
1772802276829,35,1106,0.0325,0.0000,655359.00
1772802277829,36,850,0.0624,0.0000,655359.00
1772802278829,37,845,0.0817,0.0000,655359.00
1772802279830,38,826,0.0472,0.0000,655359.00
1772802280830,39,1015,0.0837,0.0000,655359.00
1772802281831,40,1041,0.1374,0.0000,655359.00
1772802282831,41,779,0.1271,0.0000,655359.00
1772802283831,42,843,0.1246,0.0000,655359.00
1772802284831,43,907,0.1665,0.0000,655359.00
1772802285832,44,1117,0.1450,0.0000,655359.00
1772802286832,45,820,0.1463,0.0000,655359.00
1772802287833,46,935,0.1968,0.0000,655359.00
1772802288833,47,872,0.1697,0.0000,655359.00
1772802289833,48,959,0.2190,0.0000,655359.00
1772802290833,49,989,0.1921,0.0000,655359.00
1772802291834,50,917,0.0960,0.0000,655359.00
1772802292834,51,880,0.1250,0.0000,655359.00
1772802293834,52,809,0.1434,0.0000,655359.00
1772802294835,53,1139,0.0896,0.0000,655359.00
1772802295835,54,920,0.0837,0.0000,655359.00
1772802296835,55,768,0.0768,0.0000,655359.00
1772802297836,56,853,0.0938,0.0000,655359.00
1772802298836,57,954,0.0975,0.0000,655359.00
1772802299836,58,901,0.0844,0.0000,655359.00
1772802300837,59,897,0.1093,0.0000,655359.00
1772802301837,60,868,0.1118,0.0000,655359.00
1772802302837,61,821,0.1315,0.0000,655359.00
1772802303837,62,1087,0.0966,0.0000,655359.00
1772802304838,63,942,0.1019,0.0000,655359.00
1772802305838,64,854,0.1183,0.0000,655359.00
1772802306838,65,843,0.0937,0.0000,655359.00
1772802307838,66,913,0.0624,0.0000,655359.00
1772802308838,67,1079,0.0630,0.0000,655359.00
1772802309839,68,878,0.0376,0.0000,655359.00
1772802310839,69,927,0.0367,0.0000,655359.00
1772802311839,70,876,0.0114,0.0000,655359.00
1772802312840,71,910,0.0275,0.0000,655359.00
1772802313840,72,1009,0.0763,0.0000,655359.00
1772802314840,73,922,0.0542,0.0000,655359.00
1772802315841,74,806,0.0571,0.0000,655359.00
1772802316841,75,829,0.0953,0.0000,655359.00
1772802317841,76,1135,0.1207,0.0000,655359.00
1772802318842,77,897,0.0970,0.0000,655359.00
1772802319842,78,853,0.1313,0.0000,655359.00
1772802320842,79,883,0.1200,0.0000,655359.00
1772802321843,80,940,0.1287,0.0000,655359.00
1772802322843,81,1082,0.1183,0.0000,655359.00
1772802323843,82,764,0.1257,0.0000,655359.00
1772802324843,83,841,0.1665,0.0000,655359.00
1772802325843,84,799,0.1064,0.0000,655359.00
1772802326843,85,1176,0.1633,0.0000,655359.00
1772802327844,86,884,0.1369,0.0000,655359.00
1772802328844,87,875,0.1337,0.0000,655359.00
1772802329845,88,792,0.1351,0.0000,655359.00
1772802330845,89,1005,0.1323,0.0000,655359.00
1772802331845,90,1035,0.1237,0.0000,655359.00
1772802332845,91,797,0.1493,0.0000,655359.00
1772802333845,92,898,0.1036,0.0000,655359.00
1772802334846,93,900,0.0967,0.0000,655359.00
1772802335846,94,1008,0.1071,0.0000,655359.00
1772802336846,95,733,0.1173,0.0000,655359.00
1772802337847,96,821,0.1145,0.0000,655359.00
1772802338848,97,826,0.1017,0.0000,655359.00
1772802339848,98,1030,0.1184,0.0000,655359.00
1772802340849,99,970,0.1082,0.0000,655359.00
1772802341850,100,827,0.1282,0.0000,655359.00
1772802342850,101,790,0.1139,0.0000,655359.00
1772802343850,102,925,0.1524,0.0000,655359.00
1772802344851,103,1169,0.1240,0.0000,655359.00
1772802345851,104,868,0.1279,0.0000,655359.00
1772802346851,105,888,0.0980,0.0000,655359.00
1772802347851,106,935,0.0834,0.0000,655359.00
1772802348851,107,931,0.0591,0.0000,655359.00
1772802349851,108,985,0.0558,0.0000,655359.00
1772802350851,109,840,0.0476,0.0000,655359.00
1772802351852,110,861,0.0488,0.0000,655359.00
1772802352852,111,814,0.0418,0.0000,655359.00
1772802353852,112,1146,0.1073,0.0000,655359.00
1772802354852,113,922,0.0824,0.0000,655359.00
1772802355852,114,831,0.0650,0.0000,655359.00
1772802356853,115,727,0.1596,0.0000,655359.00
1772802357853,116,1013,0.1362,0.0000,655359.00
1772802358854,117,846,0.1395,0.0000,655359.00
1772802359854,118,761,0.1537,0.0000,655359.00
1772802360854,119,872,0.1961,0.0000,655359.00
1772802361855,120,829,0.1713,0.0000,655359.00
