datetime,elapsed_seconds,event_sink_busy,event_sink_in_rate,event_sink_out_rate,feature_busy,feature_in_rate,feature_out_rate,filter_busy,filter_in_rate,filter_out_rate,grid_busy,grid_in_rate,grid_out_rate,grid_sink_busy,grid_sink_in_rate,grid_sink_out_rate,job_id,p_event_sink,p_feature,p_filter,p_grid,p_grid_sink,p_signal,p_source,phase_name,run_id,sample_index,signal_busy,signal_in_rate,signal_out_rate,source_busy,source_in_rate,source_out_rate,target_rate,timestamp
2026-03-29 18:01:43,0.0,0.036,1029.8833333333334,0.0,0.0,1058.5166666666667,1058.5166666666667,0.4015,1309.8333333333335,1309.8333333333335,0.0,1056.9,46.91666666666667,0.0,46.916666666666664,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,0,0.2345,1062.5666666666666,1062.5666666666666,nan,0.0,1316.3333333333335,6000,1774778503.4014995
2026-03-29 18:01:53,10.0,0.12,1652.4833333333333,0.0,0.0,1058.5166666666667,1058.5166666666667,0.4015,1309.8333333333335,1309.8333333333335,0.0,1056.9,46.91666666666667,0.0,81.01666666666667,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,1,0.2345,1062.5666666666666,1062.5666666666666,nan,0.0,1316.3333333333335,6000,1774778513.283725
2026-03-29 18:02:03,20.0,0.12,1652.4833333333333,0.0,0.0,1653.0833333333335,1653.0833333333335,0.4915,2138.0,2138.0,0.0,1650.1999999999998,81.01666666666667,0.0,81.01666666666667,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,2,0.29,1655.4166666666667,1655.4166666666667,nan,0.0,2144.4666666666667,6000,1774778523.2374775
2026-03-29 18:02:13,30.0,0.233,2969.0833333333335,0.0,0.0525,2972.383333333333,2972.383333333333,0.4915,4273.116666666667,4273.116666666667,0.036,2968.7666666666664,169.11666666666667,0.0,169.11666666666667,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,3,0.49,2972.7833333333333,2972.7833333333333,nan,0.0,2144.4666666666667,6000,1774778533.2467039
2026-03-29 18:02:23,40.0,0.251,3568.883333333333,0.0,0.052,3566.25,3566.25,0.8015,4273.116666666667,4273.116666666667,0.039,3563.5,216.88333333333333,0.0,216.88333333333333,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,4,0.49,2972.7833333333333,2972.7833333333333,nan,0.0,4279.766666666666,6000,1774778543.2430508
2026-03-29 18:02:33,50.0,0.264,3820.05,0.0,0.052,3566.25,3566.25,0.8895,5288.9,5288.9,0.039,3563.5,216.88333333333333,0.0,247.16666666666666,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,5,0.5365,3569.866666666667,3569.883333333333,nan,0.0,5287.65,6000,1774778553.2523007
2026-03-29 18:02:43,60.0,0.224,3978.733333333333,0.0,0.0425,3951.85,3951.85,0.8905,5974.266666666666,5974.266666666666,0.0295,3950.283333333333,267.93333333333334,0.0,267.93333333333334,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,6,0.5145,3811.7833333333338,3811.7833333333333,nan,0.0,5972.833333333334,6000,1774778563.249765
2026-03-29 18:02:53,70.0,0.174,3992.883333333333,0.0,0.038,3951.85,3951.85,0.889,6466.45,6466.45,0.0295,3996.5833333333335,280.26666666666665,0.0,280.26666666666665,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,7,0.509,3950.9833333333336,3950.9833333333336,nan,0.0,6466.983333333334,6000,1774778573.2480707
2026-03-29 18:03:03,80.0,0.175,3991.8333333333335,0.0,0.0395,3995.3999999999996,3995.3999999999996,0.8915,6749.683333333333,6749.683333333333,0.0295,4000.1000000000004,286.4166666666667,0.0,285.6333333333333,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,8,0.5045,3997.2333333333336,3997.2333333333336,nan,0.0,6749.85,6000,1774778583.2431235
2026-03-29 18:03:13,90.0,0.196,3963.0333333333333,0.0,0.0385,3961.9333333333334,3961.9333333333334,0.8935,6881.283333333334,6881.283333333334,0.033,3964.0,287.9666666666667,0.0,287.96666666666664,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,9,0.5055,3996.8333333333335,3996.8333333333335,nan,0.0,6881.35,6000,1774778593.2399817
2026-03-29 18:03:23,100.0,0.185,3925.516666666667,0.0,0.0395,3961.9333333333334,3961.9333333333334,0.8975,6818.216666666667,6818.216666666667,0.033,3964.0,287.9666666666667,0.0,285.8,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,10,0.511,3964.0666666666666,3964.0666666666666,nan,0.0,6818.966666666667,6000,1774778603.2562008
2026-03-29 18:03:33,110.0,0.192,4086.5333333333333,0.0,0.0385,3924.883333333333,3924.883333333333,0.899,6794.8,6794.8,0.031,4083.5,279.15,0.0,279.15,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,11,0.509,3925.083333333333,3925.083333333333,nan,0.0,6796.6,6000,1774778613.255587
2026-03-29 18:03:43,120.0,0.192,4086.5333333333333,0.0,0.039,4088.0333333333333,4088.0333333333333,0.8975,6633.216666666667,6633.216666666667,0.0315,4083.5,279.15,0.0,279.15,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,12,0.522,4090.1,4090.083333333333,nan,0.0,6634.066666666667,6000,1774778623.2360759
2026-03-29 18:03:53,130.0,0.216,4305.85,0.0,0.0405,4305.75,4305.75,0.8955,6440.65,6440.65,0.033,4305.633333333333,270.85,0.0,270.85,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,13,0.5415,4309.450000000001,4309.450000000001,nan,0.0,6436.266666666666,6000,1774778633.251021
2026-03-29 18:04:03,140.0,0.247,4542.75,0.0,0.041,4541.666666666666,4541.666666666666,0.8945,6302.016666666666,6302.016666666666,0.0325,4538.033333333334,265.40000000000003,0.0,265.4,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,14,0.56,4542.166666666667,4542.166666666667,nan,0.0,6300.8,6000,1774778643.2344713
2026-03-29 18:04:13,150.0,0.368,4670.466666666666,0.0,0.042,4667.383333333333,4667.533333333333,0.8685,6017.4,6017.4,0.033,4665.316666666667,254.33333333333331,0.0,255.11666666666667,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,15,0.561,4667.0,4667.0,nan,0.0,6019.316666666667,6000,1774778653.22718
2026-03-29 18:04:23,160.0,0.383,4905.233333333334,0.0,0.042,4917.15,4917.15,0.866,5973.616666666667,5973.616666666667,0.0315,4914.783333333333,249.8,0.0,249.2,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,16,0.571,4918.45,4918.45,nan,0.0,5972.116666666667,6000,1774778663.2398674
2026-03-29 18:04:33,170.0,0.445,5126.683333333333,0.0,0.045,5149.033333333333,5149.033333333333,0.859,5856.033333333333,5856.233333333334,0.033,5148.616666666667,246.78333333333336,0.0,246.78333333333333,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,17,0.587,5145.1,5145.083333333334,nan,0.0,5850.6,6000,1774778673.2398095
2026-03-29 18:04:43,180.0,0.535,5118.966666666666,0.0,0.0445,5120.816666666667,5120.816666666667,0.8345,5748.5,5748.5,0.0325,5124.983333333334,243.73333333333335,0.0,243.73333333333332,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,18,0.5775,5118.466666666667,5118.483333333334,nan,0.0,5748.266666666666,6000,1774778683.237016
2026-03-29 18:04:53,190.0,0.56,5124.35,0.0,0.0455,5122.700000000001,5122.700000000001,0.831,5731.316666666667,5731.316666666667,0.0335,5124.700000000001,242.43333333333334,0.0,242.43333333333334,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,19,0.5785,5122.016666666666,5122.016666666666,nan,0.0,5732.4333333333325,6000,1774778693.2550561
2026-03-29 18:05:03,200.0,0.549,5148.9,0.0,0.0445,5148.700000000001,5148.700000000001,0.8245,5758.866666666667,5758.85,0.0335,5146.916666666666,245.66666666666669,0.0,245.35,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,20,0.5745,5147.6,5147.6,nan,0.0,5757.5,6000,1774778703.266628
2026-03-29 18:05:13,210.0,0.453,5200.633333333333,0.0,0.046,5214.666666666667,5214.666666666667,0.8435,5825.416666666666,5825.416666666666,0.034,5215.283333333333,246.5,0.0,246.5,0.0,8c9e4d1b2c5ada6e472ca4479aa28d4e,1,2,2,2,1,2,2,恒定高负载,E1_run01_20260329_180041,21,0.5825,5212.683333333333,5212.683333333333,nan,0.0,5825.3,6000,1774778713.229279
