datetime,elapsed_seconds,event_sink_busy,event_sink_in_rate,event_sink_out_rate,feature_busy,feature_in_rate,feature_out_rate,filter_busy,filter_in_rate,filter_out_rate,grid_busy,grid_in_rate,grid_out_rate,grid_sink_busy,grid_sink_in_rate,grid_sink_out_rate,job_id,p_event_sink,p_feature,p_filter,p_grid,p_grid_sink,p_signal,p_source,phase_name,run_id,sample_index,signal_busy,signal_in_rate,signal_out_rate,source_busy,source_in_rate,source_out_rate,target_rate,timestamp
2026-03-30 22:39:46,0.0,0.0095,1227.0166666666667,0.0,0.0045,1229.8,1229.8,0.0375,1358.6666666666667,1358.6666666666667,0.00975,1229.0833333333335,56.64999999999999,0.0,56.55,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,0,0.007875,1222.95,1222.95,nan,0.0,1368.3666666666668,2000,1774881586.7310877
2026-03-30 22:39:56,10.0,0.0085,1522.1166666666668,0.0,0.00425,1524.6333333333332,1524.6333333333332,0.0375,1687.8166666666666,1687.8166666666666,0.009,1524.6666666666667,73.31666666666666,0.0,73.21666666666667,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,1,0.0075,1518.4,1518.4,nan,0.0,1698.3,2000,1774881596.7174277
2026-03-30 22:40:06,20.0,0.0215,1782.1333333333332,0.0,0.00675,1781.2833333333333,1781.2833333333333,0.0375,1687.8166666666666,1687.8166666666666,0.015,1781.6166666666668,89.98333333333333,0.0,89.88333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,2,0.0075,1654.8333333333335,1654.8333333333335,nan,0.0,1698.3,2000,1774881606.7166119
2026-03-30 22:40:16,30.0,0.014,1776.4166666666665,0.0,0.00425,1775.1666666666667,1775.1666666666667,0.054375,1974.4333333333332,1974.4166666666665,0.0115,1774.8666666666666,106.65,0.0,106.55,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,3,0.028125,1775.7833333333333,1775.7833333333333,nan,0.0,1973.3333333333333,2000,1774881616.7227602
2026-03-30 22:40:26,40.0,0.014,1775.0,0.0,0.00425,1773.7166666666667,1773.6,0.054375,1974.4333333333332,1974.4166666666665,0.01075,1773.1833333333334,123.31666666666666,0.0,123.21666666666667,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,4,0.028125,1774.0833333333335,1774.0833333333335,nan,0.0,1973.3333333333333,2000,1774881626.7164602
2026-03-30 22:40:36,50.0,0.013,1776.8833333333332,0.0,0.00475,1773.7166666666667,1773.6,0.053,1973.116666666667,1973.116666666667,0.01075,1773.7,113.0,0.0,98.33333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,5,0.028125,1773.9666666666667,1773.9666666666667,nan,0.0,1973.3000000000002,2000,1774881636.7165196
2026-03-30 22:40:46,60.0,0.0125,1774.9,0.0,0.0035,1775.6833333333334,1775.6833333333334,0.052125,1972.3999999999999,1972.3999999999999,0.00875,1775.0666666666666,98.33333333333333,0.0,98.33333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,6,0.027125,1775.9333333333334,1775.9333333333334,nan,0.0,1972.8166666666668,2000,1774881646.7155397
2026-03-30 22:40:56,70.0,0.0125,1774.7,0.0,0.00425,1774.3000000000002,1774.3000000000002,0.0515,1971.416666666667,1971.416666666667,0.00875,1775.1333333333334,98.33333333333333,0.0,98.33333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,7,0.0265,1774.7666666666664,1774.7666666666664,nan,0.0,1971.6333333333332,2000,1774881656.7157724
2026-03-30 22:41:06,80.0,0.0115,1773.1333333333332,0.0,0.00425,1774.5833333333333,1774.5833333333333,0.050875,1969.7166666666667,1969.7166666666667,0.0085,1775.1333333333334,98.33333333333333,0.0,98.33333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,8,0.026125,1774.3999999999999,1774.3999999999999,nan,0.0,1968.7833333333333,2000,1774881666.7157097
2026-03-30 22:41:16,90.0,0.01,1773.2833333333333,0.0,0.00275,1773.7166666666667,1773.7166666666667,0.04675,1968.6166666666663,1968.6166666666663,0.006,1773.7166666666667,98.33333333333333,0.0,98.33333333333333,0.0,f66eb078f061f7701b7a759d91df7adc,2,4,8,4,2,8,6,low_pressure,E2_run01_20260330_223847,9,0.0235,1773.7333333333333,1773.7333333333333,nan,0.0,1968.4500000000003,2000,1774881676.7173772
